Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-10-15 17:03:33,false,"Auburn Running","5.05","457","01:08:05","156","177","3.5","147","241","13:28","10:18","114","116","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","80.6","0:00","No","00:51.61.5","6","86.0","01:07:34","01:08:05","1,292","1,348"
Running,2022-10-14 18:21:40,false,"Auburn Running","3.90","344","00:52:45","148","171","3.2","146","230","13:32","10:53","112","116","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","80.6","0:00","No","12:24.27.8","4","84.2","00:52:20","00:52:45","1,312","1,350"
Walking,2022-10-13 17:54:31,false,"Auburn Walking","2.22","189","00:38:10","121","154","2.2","124","245","17:12","11:22","145","31","0.75","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","80.6","0:00","No","04:09.68.8","3","84.2","00:36:51","00:38:10","1,398","1,533"
Open Water Swimming,2022-10-11 17:31:47,false,"Honolulu Open Water Swimming","523","67","00:48:33","100","144","0.6","--","--","9:18","1:14","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","543","181","11","0","0:00","82.4","0:00","No","01:40.55","2","84.2","00:21:20","00:48:33","--","--"
Open Water Swimming,2022-10-11 10:19:22,false,"Honolulu County Open Water Swimming","255","35","00:21:20","104","152","0.9","--","--","8:22","0:25","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","185","157","9","0","0:00","82.4","0:00","No","21:20.02.2","1","84.2","00:07:16","00:21:20","--","--"
Open Water Swimming,2022-10-08 10:30:22,false,"Honolulu Open Water Swimming","241","33","00:56:32","71","111","0.1","--","--","23:27","0:14","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","94","396","1","0","0:00","82.4","0:00","No","56:32.00.9","1","84.2","00:05:22","00:56:32","--","--"
Open Water Swimming,2022-10-08 08:42:10,false,"Honolulu Open Water Swimming","83","11","00:22:39","92","118","0.3","--","--","27:13","2:28","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","51","463","2","0","0:00","80.6","0:00","No","22:39.06.2","1","87.8","00:02:36","00:22:39","--","--"
Open Water Swimming,2022-10-06 09:46:30,false,"Honolulu County Open Water Swimming","825","108","01:09:38","105","158","1.7","--","--","8:25","0:23","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","926","169","14","0","0:00","82.4","0:00","No","26:56.46.1","2","91.4","00:32:57","01:10:07","--","--"
Walking,2022-10-03 18:40:26,false,"Placer County Walking","0.57","46","00:13:54","97","115","0.2","81","128","24:31","18:04","8","92","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","86.0","0:00","No","13:54.18.5","1","87.8","00:12:06","00:13:54","472","478"
Running,2022-10-03 10:20:49,false,"Auburn Running","3.90","347","00:54:53","147","173","2.9","147","169","14:04","10:01","102","94","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","84.2","0:00","No","13:03.91.1","4","91.4","00:53:56","00:58:13","1,349","1,402"
Running,2022-10-02 15:17:01,false,"Auburn Running","9.04","859","02:09:10","161","186","4.0","146","173","14:18","9:09","230","226","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","82.4","0:00","No","00:40.67.3","10","93.2","02:05:42","02:14:36","1,286","1,349"
Running,2022-09-30 11:45:11,false,"Auburn - Easy Run","1.82","164","00:24:30","151","169","2.4","148","169","13:27","10:51","122","53","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","84.2","0:00","No","05:00.00","3","89.6","00:24:16","00:24:30","1,320","1,377"
Running,2022-09-28 18:03:27,false,"Placer County Running","5.00","458","01:03:55","151","171","3.4","151","227","12:47","10:03","236","233","0.83","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","86.0","0:00","No","00:01.48","6","89.6","01:02:27","01:03:56","455","491"
Running,2022-09-27 18:15:20,false,"Auburn Running","4.00","348","00:54:34","145","167","2.8","150","227","13:38","11:25","92","86","0.79","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","82.4","0:00","No","00:01.32.4","5","84.2","00:54:07","00:54:34","1,356","1,407"
Running,2022-09-25 09:22:32,false,"El Dorado County Running","6.50","608","02:12:22","122","168","2.7","107","246","20:21","10:58","736","685","0.74","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","86.0","0:00","No","11:07.35.9","7","95.0","01:58:57","02:14:32","1,249","1,539"
Running,2022-09-24 09:07:18,false,"Auburn - Easy Run","6.00","594","01:21:27","163","188","3.9","144","169","13:34","10:07","140","132","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","80.6","0:00","No","00:49.00.7","9","91.4","01:20:19","01:23:34","1,295","1,360"
